"mag_z","env","interaction_z","action"
-0.878098606214977,-1,0.878098606214977,1
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
-0.633893668391877,-1,0.633893668391877,1
-0.633893668391877,-1,0.633893668391877,1
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,1
-0.633893668391877,-1,0.633893668391877,1
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
1.31974583419292,-1,-1.31974583419292,1
-0.633893668391877,-1,0.633893668391877,1
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
-0.633893668391877,-1,0.633893668391877,0
-0.633893668391877,-1,0.633893668391877,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,1
1.31974583419292,1,1.31974583419292,1
-0.878098606214977,1,-0.878098606214977,0
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,0
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,0
-0.633893668391877,1,-0.633893668391877,1
-0.878098606214977,1,-0.878098606214977,0
-0.878098606214977,1,-0.878098606214977,0
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.878098606214977,1,-0.878098606214977,0
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,0
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,1
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,0
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.878098606214977,1,-0.878098606214977,0
1.31974583419292,1,1.31974583419292,1
-0.878098606214977,1,-0.878098606214977,0
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,1
-0.633893668391877,-1,0.633893668391877,0
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,0
1.31974583419292,-1,-1.31974583419292,1
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
1.31974583419292,-1,-1.31974583419292,1
-0.633893668391877,-1,0.633893668391877,0
1.31974583419292,-1,-1.31974583419292,1
-0.633893668391877,-1,0.633893668391877,1
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
1.31974583419292,-1,-1.31974583419292,1
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,1
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,1
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,1
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,0
1.31974583419292,-1,-1.31974583419292,1
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
1.31974583419292,-1,-1.31974583419292,1
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,0
-0.633893668391877,1,-0.633893668391877,0
-0.633893668391877,1,-0.633893668391877,0
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,1
-0.633893668391877,1,-0.633893668391877,1
-0.633893668391877,1,-0.633893668391877,1
1.31974583419292,1,1.31974583419292,1
-0.878098606214977,1,-0.878098606214977,0
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,0
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,1
-0.633893668391877,1,-0.633893668391877,0
-0.633893668391877,1,-0.633893668391877,0
-0.878098606214977,1,-0.878098606214977,0
-0.878098606214977,1,-0.878098606214977,1
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,1
-0.633893668391877,1,-0.633893668391877,1
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
-0.878098606214977,1,-0.878098606214977,0
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.633893668391877,1,-0.633893668391877,1
-0.878098606214977,1,-0.878098606214977,0
-0.633893668391877,1,-0.633893668391877,0
1.31974583419292,1,1.31974583419292,1
-0.878098606214977,1,-0.878098606214977,0
1.31974583419292,1,1.31974583419292,1
1.31974583419292,1,1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,1
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
1.31974583419292,-1,-1.31974583419292,1
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,0
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,1
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,0
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
1.31974583419292,-1,-1.31974583419292,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
-0.633893668391877,-1,0.633893668391877,0
1.31974583419292,-1,-1.31974583419292,1
-0.633893668391877,-1,0.633893668391877,0
-0.633893668391877,-1,0.633893668391877,1
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
-0.878098606214977,-1,0.878098606214977,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,0
-0.878098606214977,-1,0.878098606214977,0
-0.633893668391877,-1,0.633893668391877,1
1.31974583419292,-1,-1.31974583419292,1
-0.633893668391877,-1,0.633893668391877,1
-0.633893668391877,-1,0.633893668391877,1
-0.633893668391877,-1,0.633893668391877,0
1.31974583419292,-1,-1.31974583419292,1
